e_i,i_s,f_t,j_p,ce_ac,ro_ae,kolb_type,divergers,assimilators,convergers,accommodators,lp1,lp2_r,lp3_r,lp4_r,lp5_r,lp6_r,lp7_r,lp8_r,ls1,ls2,ls3,ls4,ls5,ls6,ls7,ls8,ls9,ls10,ls11,ls12,ls13,ls14,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8_r,pe9,pe10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16
외향 (Extraversion),직관 (iNtuition),감정 (Feeling),판단 (Judging),구체적 경험 ( CE ),반성적 성찰 ( RO ),분산자,6,6,4,4,3,4,6,4,5,5,5,4,5,4,6,2,4,6,5,6,5,6,5,7,5,7,5,7,7,6,6,6,1,1,6,6,7,5,6,3,6,6,6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,6,5,6
외향 (Extraversion),감각 (Sensing),감정 (Feeling),판단 (Judging),구체적 경험 ( CE ),능동적 실험 ( AE ),융합자,2,5,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,6,6,5,4,3,3,3,6,2,2,6,5,3,2,2,6,2,5,3,2,3,2,5,6,5,3,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2
외향 (Extraversion),감각 (Sensing),사고 (Thinking),판단 (Judging),추상적 개념화 ( AC ),반성적 성찰 ( RO ),수렴자,3,5,7,4,6,5,2,4,5,6,6,6,7,7,6,2,2,7,5,6,7,7,7,7,7,7,1,1,1,5,2,3,6,5,5,3,4,4,5,3,6,6,6,6,6,5,6,3,5,5,7,6,6,6,6,3,6,5,6,5,6,5,2,5,6
외향 (Extraversion),직관 (iNtuition),사고 (Thinking),인식 (Perceiving),추상적 개념화 ( AC ),능동적 실험 ( AE ),융합자,4,4,4,6,3,6,6,5,7,6,6,7,6,5,6,5,4,6,5,4,6,5,5,6,5,7,7,5,6,5,4,6,5,5,7,5,5,5,7,6,5,5,5,4,6,4,6,4,6,5,7,6,5,5,6,5,6,4,6,6,5,5,5,5,6
내향 (Introversion),감각 (Sensing),사고 (Thinking),인식 (Perceiving),구체적 경험 ( CE ),반성적 성찰 ( RO ),수렴자,3,5,6,2,6,6,4,4,6,6,7,7,5,6,7,3,6,6,4,6,6,6,4,6,5,6,1,1,7,1,1,1,2,6,4,4,2,6,4,7,5,4,4,4,6,6,5,4,4,2,2,2,2,3,2,2,3,3,2,5,3,4,3,3,4
외향 (Extraversion),감각 (Sensing),감정 (Feeling),인식 (Perceiving),구체적 경험 ( CE ),반성적 성찰 ( RO ),융합자,5,6,5,2,4,4,7,6,4,4,5,5,5,7,7,5,3,4,6,7,7,7,3,6,6,6,2,1,1,1,1,1,6,7,4,1,2,3,2,6,4,3,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,4
내향 (Introversion),감각 (Sensing),사고 (Thinking),판단 (Judging),추상적 개념화 ( AC ),반성적 성찰 ( RO ),융합자,2,6,5,3,5,3,3,3,4,4,4,2,5,6,6,6,3,5,5,6,6,6,4,4,6,6,5,5,1,3,2,2,5,4,4,6,6,4,5,2,6,6,6,6,6,6,6,6,6,4,6,6,6,6,4,4,3,3,3,3,4,4,4,4,4
내향 (Introversion),직관 (iNtuition),사고 (Thinking),인식 (Perceiving),추상적 개념화 ( AC ),반성적 성찰 ( RO ),융합자,5,7,4,1,7,7,1,3,1,1,7,4,5,7,2,7,4,3,5,3,7,5,3,7,7,6,6,1,6,1,1,1,6,6,2,2,1,1,1,7,1,5,4,5,2,7,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
내향 (Introversion),감각 (Sensing),감정 (Feeling),판단 (Judging),구체적 경험 ( CE ),능동적 실험 ( AE ),적응자,5,3,4,7,7,3,2,2,1,1,1,5,6,4,7,7,3,7,7,7,7,7,6,7,5,7,5,2,7,2,2,4,5,1,6,5,7,7,3,6,5,6,6,6,5,5,5,7,7,6,7,7,6,6,4,5,6,5,3,3,5,5,5,5,1
내향 (Introversion),직관 (iNtuition),감정 (Feeling),인식 (Perceiving),구체적 경험 ( CE ),반성적 성찰 ( RO ),분산자,5,3,3,1,7,6,3,2,3,3,3,3,7,7,7,7,7,7,7,1,5,5,3,6,4,3,1,1,1,1,1,1,7,7,1,1,2,7,2,7,2,2,1,1,3,6,1,1,1,1,7,7,4,7,4,4,4,1,5,5,3,6,1,1,1
